id	placeName	coordinate location	dvp_id	QID
dvp_001_place_0	Rauner Special Collections Library	43.70447,-72.28817		Q98544730
dvp_001_place_1	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_2	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_3	Anacostia	38.864722,-76.985556		Q4579829
dvp_001_place_4	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_5	Anacostia River	38.9425,-76.9439		Q483607
		38.8536,-77.0203		
dvp_001_place_6	Washington Navy Yard	38.87388888888889,-76.995		Q1637241
dvp_001_place_7	United States of America	39.828175,-98.5795		Q30
dvp_001_place_8	Pennsylvania	41,-77.5		Q1400
dvp_001_place_9	Erie	42.129561111111,-80.085213888889		Q234061
dvp_001_place_10	Virginia	37.5,-79		Q1370
dvp_001_place_11	North Carolina	35.5,-80		Q1454
dvp_001_place_12	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_13	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_14	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_15	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_16	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_17	Virginia	37.5,-79		Q1370
dvp_001_place_18	Maryland	39,-76.7		Q1391
dvp_001_place_19	Maryland	39,-76.7		Q1391
dvp_001_place_20	Prince George's County	38.83,-76.85		Q26807
dvp_001_place_21	Maryland	39,-76.7		Q1391
dvp_001_place_22	Arlington County	38.880277777778,-77.108333333333		Q107126
dvp_001_place_23	Virginia	37.5,-79		Q1370
dvp_001_place_24	Anacostia	38.864722,-76.985556		Q4579829
dvp_001_place_25	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_26	Cuba	22,-79.5		Q241
dvp_001_place_27	Cuba	22,-79.5		Q241
dvp_001_place_28	Spain	40.2,-3.5		Q29
dvp_001_place_29	Railroad	39.7567,-76.6994		Q1184797
		39.76066,-76.6983		
dvp_001_place_30	Railroad	39.7567,-76.6994		Q1184797
		39.76066,-76.6983		
dvp_001_place_31	Pennsylvania	41,-77.5		Q1400
dvp_001_place_32	George Washington University	38.900833333333,-77.050833333333		Q432637
dvp_001_place_33	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_34	Baltimore	39.286388888889,-76.615		Q5092
dvp_001_place_35	Maryland	39,-76.7		Q1391
dvp_001_place_36	Library of Congress	38.888333333333335,-77.00444444444445		Q131454
dvp_001_place_37	George Washington University	38.900833333333,-77.050833333333		Q432637
dvp_001_place_38	Library of Congress	38.888333333333335,-77.00444444444445		Q131454
dvp_001_place_39	George Washington University	38.900833333333,-77.050833333333		Q432637
dvp_001_place_40	Maryland	39,-76.7		Q1391
dvp_001_place_41	U.S. Route 40			Q409496
dvp_001_place_42	George Washington University	38.900833333333,-77.050833333333		Q432637
dvp_001_place_43	George Washington University	38.900833333333,-77.050833333333		Q432637
dvp_001_place_44	Washington Circle	38.902514,-77.050058		Q1882561
dvp_001_place_45	Yale University	41.311111111111,-72.926666666667		Q49112
dvp_001_place_46	People's Republic of China	35.844722222222224,103.45194444444445		Q148
dvp_001_place_47	People's Republic of China	35.844722222222224,103.45194444444445		Q148
dvp_001_place_48	George Washington University	38.900833333333,-77.050833333333		Q432637
dvp_001_place_49	Library of Congress	38.888333333333335,-77.00444444444445		Q131454
dvp_001_place_50	George Washington University	38.900833333333,-77.050833333333		Q432637
dvp_001_place_51	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_52	New Haven	41.308333333333,-72.925		Q49145
dvp_001_place_53	New Haven	41.308333333333,-72.925		Q49145
dvp_001_place_54	New Haven	41.308333333333,-72.925		Q49145
dvp_001_place_55	Yale University	41.311111111111,-72.926666666667		Q49112
dvp_001_place_56	Watts	33.941666666667,-118.24166666667		Q1687279
dvp_001_place_57	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_58	Baltimore	39.286388888889,-76.615		Q5092
dvp_001_place_59	St. Louis	38.616666666667,-90.2		Q38022
dvp_001_place_60	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_61	South Africa	-29,24		Q258
dvp_001_place_62	United States of America	39.828175,-98.5795		Q30
dvp_001_place_63	South Africa	-29,24		Q258
dvp_001_place_64	Yale University	41.311111111111,-72.926666666667		Q49112
dvp_001_place_65	Dartmouth College	43.703333333333,-72.288333333333		Q49116
dvp_001_place_66	Yale University	41.311111111111,-72.926666666667		Q49112
dvp_001_place_67	George Washington University	38.900833333333,-77.050833333333		Q432637
dvp_001_place_68	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_69	Minnesota	46,-94		Q1527
dvp_001_place_70	Tennessee	36,-86		Q1509
dvp_001_place_71	University of California, Berkeley	37.87,-122.259		Q168756
dvp_001_place_72	Vietnam	16,108		Q881
dvp_001_place_73	New Haven	41.308333333333,-72.925		Q49145
dvp_001_place_74	George Washington University	38.900833333333,-77.050833333333		Q432637
dvp_001_place_75	Dartmouth College	43.703333333333,-72.288333333333		Q49116
dvp_001_place_76	Yale University	41.311111111111,-72.926666666667		Q49112
dvp_001_place_77	Yale University	41.311111111111,-72.926666666667		Q49112
dvp_001_place_78	South Strafford, Vermont	43.83527778,-72.36611111		Q30622982
dvp_001_place_79	Vermont	44,-72.7		Q16551
dvp_001_place_80	Beinecke Rare Book & Manuscript Library	41.31161,-72.92722		Q814779
dvp_001_place_81	McGill University	45.504167,-73.574722		Q201492
dvp_001_place_82	Dartmouth College	43.703333333333,-72.288333333333		Q49116
dvp_001_place_83	Yale University	41.311111111111,-72.926666666667		Q49112
dvp_001_place_84	Yale University	41.311111111111,-72.926666666667		Q49112
dvp_001_place_85	Yale University	41.311111111111,-72.926666666667		Q49112
dvp_001_place_86	South Africa	-29,24		Q258
dvp_001_place_87	Hanover	43.7,-72.28333333333333		Q131908
dvp_001_place_88	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_89	New Haven	41.308333333333,-72.925		Q49145
dvp_001_place_90	New Haven	41.308333333333,-72.925		Q49145
dvp_001_place_91	Hanover	43.7,-72.28333333333333		Q131908
dvp_001_place_92	Hanover	43.7,-72.28333333333333		Q131908
dvp_001_place_93	Lebanon	43.6422,-72.2517		Q993523
dvp_001_place_94	Lyme	43.810277777778,-72.156111111111		Q2418021
dvp_001_place_95	Hanover	43.7,-72.28333333333333		Q131908
dvp_001_place_96	New Haven	41.308333333333,-72.925		Q49145
dvp_001_place_97	East Haven	41.295555555556,-72.8625		Q755413
		41.27621,-72.86843		
dvp_001_place_98	Connecticut	41.6,-72.7		Q779
dvp_001_place_99	Parkhurst Hall	43.70404,-72.28995		Q100952777
dvp_001_place_100	Grafton County Jail			
dvp_001_place_101	Dartmouth College	43.703333333333,-72.288333333333		Q49116
dvp_001_place_102	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_103	Parkhurst Hall	43.70404,-72.28995		Q100952777
dvp_001_place_104	Parkhurst Hall	43.70404,-72.28995		Q100952777
dvp_001_place_105	Parkhurst Hall	43.70404,-72.28995		Q100952777
dvp_001_place_106	West Lebanon	43.649166666667,-72.310277777778		Q7985727
dvp_001_place_107	Dartmouth College	43.703333333333,-72.288333333333		Q49116
dvp_001_place_108	Colbyâ€“Sawyer College	43.4122,-71.9778		Q5142055
dvp_001_place_109	Hobart and William Smith Colleges	42.8571,-76.9854		Q4119316
dvp_001_place_110	Iraq	33,43		Q796
dvp_001_place_111	corner of Wheelock and Main [Streets]			
dvp_001_place_112	Dartmouth College	43.703333333333,-72.288333333333		Q49116
dvp_001_place_113	Kent State University	41.146944444444,-81.343333333333		Q1473615
dvp_001_place_114	Botswana	-22.2,23.7		Q963
dvp_001_place_115	Dartmouth College	43.703333333333,-72.288333333333		Q49116
dvp_001_place_116	Dartmouth College	43.703333333333,-72.288333333333		Q49116
dvp_001_place_117	South Africa	-29,24		Q258
dvp_001_place_118	South Africa	-29,24		Q258
dvp_001_place_119	South Africa	-29,24		Q258
dvp_001_place_120	United States of America	39.828175,-98.5795		Q30
dvp_001_place_121	Congo	-6.0791666666667,12.45		Q3503
dvp_001_place_122	United States of America	39.828175,-98.5795		Q30
dvp_001_place_123	Vienna	48.20833,16.373064		Q1741
dvp_001_place_124	Bosnia	43.86666667,18.41666667		Q188736
dvp_001_place_125	Iraq	33,43		Q796
dvp_001_place_126	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_127	New York City	40.67,-73.94		Q60
dvp_001_place_128	United States of America	39.828175,-98.5795		Q30
dvp_001_place_129	United States of America	39.828175,-98.5795		Q30
dvp_001_place_130	Washington, D.C.	38.895,-77.036666666667		Q61
dvp_001_place_131	South Africa	-29,24		Q258
dvp_001_place_132	University of the Witwatersrand	-26.190833333333,28.030277777778		Q534643
dvp_001_place_133	Soweto	-26.2661,27.8658		Q217426
dvp_001_place_134	United States of America	39.828175,-98.5795		Q30
dvp_001_place_135	Alverson			
dvp_001_place_136	Johannesburg	-26.204361111111,28.041638888889		Q34647
dvp_001_place_137	Johannesburg	-26.204361111111,28.041638888889		Q34647
dvp_001_place_138	Botswana	-22.2,23.7		Q963
dvp_001_place_139	South Africa	-29,24		Q258
dvp_001_place_140	Vietnam	16,108		Q881
dvp_001_place_141	Vietnam	16,108		Q881
dvp_001_place_142	Vietnam	16,108		Q881
dvp_001_place_143	Yale University	41.311111111111,-72.926666666667		Q49112
dvp_001_place_144	George Washington University	38.900833333333,-77.050833333333		Q432637
dvp_001_place_145	Dartmouth College	43.703333333333,-72.288333333333		Q49116
dvp_001_place_146	Vermont	44,-72.7		Q16551
dvp_001_place_147	Maine	45.5,-69		Q724
dvp_001_place_148	Canaan	43.646666666667,-72.010277777778		Q1031897
dvp_001_place_149	Parkhurst Hall	43.70404,-72.28995		Q100952777
dvp_001_place_150	AVA Gallery and Art Center			
dvp_001_place_151	Lebanon			
dvp_001_place_152	Parkhurst Hall	43.70404,-72.28995		Q100952777
dvp_001_place_153	Dartmouth College	43.703333333333,-72.288333333333		Q49116
dvp_001_place_154	Colebrook	44.894444444444,-71.495833333333		Q2418159
dvp_001_place_155	Lagos	6.45,3.4		Q8673
dvp_001_place_156	New York City	40.67,-73.94		Q60
dvp_001_place_157	Vermont	44,-72.7		Q16551
dvp_001_place_158	Maine	45.5,-69		Q724
dvp_001_place_159	Chicago	41.881944444444,-87.627777777778		Q1297
dvp_001_place_160	Norwich	43.730277777778,-72.303055555556		Q1510465
		43.71535,-72.30787		
dvp_001_place_161	Canaan	43.646666666667,-72.010277777778		Q1031897
